,state,year,voteRate,demRatio
139,Tennessee,1984,58.0,0.4181815190554701
140,Texas,1984,54.4,0.3621369482698658
141,Vermont,1984,61.1,0.413350892722209
142,Virginia,1984,56.6,0.3732431206078015
143,Washington,1984,64.5,0.4315364898363371
144,West Virginia,1984,59.1,0.4472756567540157
145,Wisconsin,1984,71.5,0.4537798429037826
146,Wyoming,1984,66.3,0.2859960023792809
147,Alabama,1988,56.9,0.4025443160191109
148,Alaska,1988,59.4,0.378366825657466
149,Arizona,1988,54.0,0.3925650846900749
150,Arkansas,1988,55.8,0.4280835728688489
151,California,1988,51.7,0.4819268946362411
152,Colorado,1988,65.4,0.4604617561850285
153,Connecticut,1988,63.9,0.4741884954356701
154,Delaware,1988,58.7,0.4375881040413072
155,District of Columbia,1988,52.7,0.8524575260565678
156,Florida,1988,54.5,0.3874792835414841
157,Georgia,1988,49.6,0.3979638365523965
158,Hawaii,1988,54.7,0.5480627598015892
159,Idaho,1988,63.9,0.3671217714936695
160,Illinois,1988,60.7,0.4895072300364114
161,Indiana,1988,60.3,0.3987400887506799
162,Iowa,1988,63.6,0.5514848114008251
163,Kansas,1988,60.6,0.4327249829781352
164,Kentucky,1988,49.7,0.4414623218821145
165,Louisiana,1988,65.2,0.4480870767605027
166,Maine,1988,66.7,0.4422898129653169
167,Maryland,1988,54.8,0.4853556976888299
168,Massachusetts,1988,63.6,0.5398258893318696
169,Michigan,1988,59.5,0.4602195003994486
170,Minnesota,1988,69.7,0.5355085992524404
171,Mississippi,1988,62.6,0.3947891704481721
172,Missouri,1988,64.5,0.4800308831902278
173,Montana,1988,68.6,0.4701181027861572
174,Nebraska,1988,63.4,0.3944591450582859
175,Nevada,1988,46.9,0.3918141083541434
176,New Hampshire,1988,58.0,0.3676636727286612
177,New Jersey,1988,59.5,0.4309884238646482
178,New Mexico,1988,54.5,0.4749008425951464
179,New York,1988,54.0,0.5342205263918793
180,North Carolina,1988,52.9,0.4184246213144999
181,North Dakota,1988,73.2,0.4340464427213233
182,Ohio,1988,62.1,0.4452593534974925
183,Oklahoma,1988,55.6,0.4161018772755833
184,Oregon,1988,63.8,0.5238368079759795
185,Pennsylvania,1988,54.8,0.4883045300466226
186,South Carolina,1988,49.2,0.3792785443558168
187,South Dakota,1988,72.0,0.468076211914141
188,Tennessee,1988,51.4,0.4178135949802923
189,Texas,1988,53.9,0.4365366706886273
190,Vermont,1988,64.0,0.4821828692327555
191,Virginia,1988,58.0,0.3964105394241759
192,Washington,1988,61.9,0.5080771175458582
193,West Virginia,1988,52.7,0.5237689319762058
194,Wisconsin,1988,70.2,0.5182346629456104
195,Wyoming,1988,61.7,0.3857512357742269
196,Alabama,1992,63.6,0.4617887354009701
197,Alaska,1992,68.6,0.4342573796132983
198,Arizona,1992,64.7,0.4869809601698806
199,Arkansas,1992,58.0,0.5999226706612252
200,California,1992,52.8,0.5851672876937908
201,Colorado,1992,68.8,0.5280206552282498
202,Connecticut,1992,71.7,0.5412511670742668
203,Delaware,1992,66.1,0.5519799270472528
204,District of Columbia,1992,66.1,0.9029706961939272
205,Florida,1992,55.8,0.4880315891041901
206,Georgia,1992,54.1,0.5034212845109663
207,Hawaii,1992,55.2,0.567199777308213
208,Idaho,1992,66.9,0.4033851697884342
209,Illinois,1992,65.1,0.585882182122468
210,Indiana,1992,63.0,0.4616510546606123
211,Iowa,1992,70.8,0.5373252911356213
212,Kansas,1992,71.9,0.4645894441238242
213,Kentucky,1992,57.6,0.5186877769476606
214,Louisiana,1992,68.6,0.5266513786041565
215,Maine,1992,74.1,0.5605587286454831
216,Maryland,1992,66.4,0.5829990003921766
217,Massachusetts,1992,65.8,0.6209222867120157
218,Michigan,1992,65.9,0.5461515964697112
219,Minnesota,1992,74.2,0.5772134022448636
220,Mississippi,1992,66.7,0.450715105326158
221,Missouri,1992,66.2,0.5650696610031356
222,Montana,1992,71.4,0.517240571248753
223,Nebraska,1992,66.1,0.3868826956766844
224,Nevada,1992,58.1,0.5182477751961773
225,New Hampshire,1992,64.6,0.507965513554495
226,New Jersey,1992,61.2,0.5142031835209345
227,New Mexico,1992,62.6,0.5514215676975641
228,New York,1992,56.8,0.6211082540422493
229,North Carolina,1992,60.0,0.4954153572081328
230,North Dakota,1992,71.1,0.4212529522709122
231,Ohio,1992,64.3,0.5116816334695452
232,Oklahoma,1992,67.5,0.4437788169738132
233,Oregon,1992,69.1,0.5663389151659282
234,Pennsylvania,1992,59.9,0.5554852946101531
235,South Carolina,1992,58.0,0.4764315457275972
236,South Dakota,1992,70.2,0.4773896623166135
237,Tennessee,1992,55.6,0.5259803664707596
238,Texas,1992,55.6,0.477578368341145
239,Vermont,1992,68.6,0.6025420135850691
240,Virginia,1992,61.2,0.4744498706585656
241,Washington,1992,66.3,0.5759170107251123
242,West Virginia,1992,57.3,0.5776883808194074
243,Wisconsin,1992,75.3,0.5279450850211544
244,Wyoming,1992,64.2,0.4620797657060342
245,Alabama,1996,55.6,0.4626612884631105
246,Alaska,1996,59.5,0.3957149749416618
247,Arizona,1996,47.3,0.5122377115185426
248,Arkansas,1996,51.5,0.5935282486475548
249,California,1996,48.4,0.5721626523096894
250,Colorado,1996,58.8,0.4924079236977256
251,Connecticut,1996,58.5,0.6036350688231273
252,Delaware,1996,54.7,0.5862365663256995
253,District of Columbia,1996,59.6,0.9012354820886426
254,Florida,1996,50.7,0.5315496119510641
255,Georgia,1996,49.6,0.4936773080144583
256,Hawaii,1996,43.1,0.6427615180824882
257,Idaho,1996,60.1,0.3920097242428407
258,Illinois,1996,55.6,0.5960509218545778
259,Indiana,1996,55.8,0.4685159364495435
260,Iowa,1996,61.1,0.5573338892373273
261,Kansas,1996,62.0,0.3992763445201585
262,Kentucky,1996,52.8,0.5052905118434284
263,Louisiana,1996,61.8,0.5656083827159214
264,Maine,1996,67.7,0.6266212041685532
265,Maryland,1996,54.4,0.5863842348627238
266,Massachusetts,1996,56.3,0.6863782540541509
267,Michigan,1996,58.1,0.5732441336669677
268,Minnesota,1996,66.9,0.5938068927137576
269,Mississippi,1996,55.1,0.472527762454129
270,Missouri,1996,61.1,0.5354703747642815
271,Montana,1996,67.3,0.4831258954927583
272,Nebraska,1996,61.0,0.3944517749921696
273,Nevada,1996,47.8,0.5058653135524703
274,New Hampshire,1996,60.1,0.5561163171068921
275,New Jersey,1996,54.7,0.599667932033127
276,New Mexico,1996,51.7,0.5402413056103159
277,New York,1996,50.9,0.677320293812358
278,North Carolina,1996,54.0,0.4747001333026536
279,North Dakota,1996,65.8,0.4608868099415835
280,Ohio,1996,58.7,0.5359694918172054
281,Oklahoma,1996,58.5,0.4559939089329422
282,Oregon,1996,61.1,0.5469311571965823
283,Pennsylvania,1996,55.0,0.5516120536083254
284,South Carolina,1996,54.5,0.4688802407801454
285,South Dakota,1996,64.3,0.4806641460486552
286,Tennessee,1996,53.1,0.5128664234186056
287,Texas,1996,46.2,0.4733937661787773
288,Vermont,1996,59.5,0.6318283038406202
289,Virginia,1996,56.4,0.4893940549293311
290,Washington,1996,60.0,0.5719465284478128
291,West Virginia,1996,50.2,0.5835466517610786
292,Wisconsin,1996,62.4,0.5591919666145019
293,Wyoming,1996,66.2,0.4251208256510402
294,Alabama,2000,59.6,0.423930580786689
295,Alaska,2000,65.5,0.3206305143627081
296,Arizona,2000,46.7,0.4671740083286014
297,Arkansas,2000,49.4,0.4719931048957919
298,California,2000,46.4,0.5620298999907178
299,Colorado,2000,53.6,0.4551408005672097
300,Connecticut,2000,55.2,0.5925565804885452
301,Delaware,2000,62.2,0.5674006478528845
302,District of Columbia,2000,65.6,0.9048769447777848
303,Florida,2000,51.6,0.4999539059196644
304,Georgia,2000,49.0,0.4401624637709734
305,Hawaii,2000,39.7,0.5982729628042934
306,Idaho,2000,53.9,0.2915150954425599
307,Illinois,2000,56.8,0.5618001031583959
308,Indiana,2000,58.5,0.4199521746741806
309,Iowa,2000,64.1,0.5016277918751817
310,Kansas,2000,60.2,0.3908309253647191
311,Kentucky,2000,54.9,0.4227238473432342
312,Louisiana,2000,64.6,0.4606075403365277
313,Maine,2000,69.2,0.5274784154100042
314,Maryland,2000,57.1,0.584322989424543
315,Massachusetts,2000,60.1,0.6478934376063381
316,Michigan,2000,60.1,0.5263460648173409
317,Minnesota,2000,67.8,0.5128641197581132
318,Mississippi,2000,59.8,0.4139451516075371
319,Missouri,2000,65.4,0.4828805134324933
320,Montana,2000,62.2,0.3634363802133028
321,Nebraska,2000,58.9,0.3482051913791497
322,Nevada,2000,46.5,0.4814316150032757
323,New Hampshire,2000,63.3,0.4933219980478119
324,New Jersey,2000,55.2,0.5821140941672093
325,New Mexico,2000,51.3,0.5003192602930914
326,New York,2000,51.0,0.6357599158301068
327,North Carolina,2000,53.2,0.4353600301849695
328,North Dakota,2000,69.8,0.3527260342938372
329,Ohio,2000,58.1,0.4816127777933392
