,candidate,state,spending,year
32,"Obama, Barack",North Carolina,1724649.44,2012
33,"Obama, Barack",North Dakota,34902.94,2012
34,"Obama, Barack",Nebraska,424792.01,2012
35,"Obama, Barack",New Hampshire,610323.93,2012
36,"Obama, Barack",New Jersey,880235.8,2012
37,"Obama, Barack",New Mexico,291690.64,2012
39,"Obama, Barack",Nevada,1421950.06,2012
40,"Obama, Barack",New York,6604421.48,2012
41,"Obama, Barack",Ohio,4658679.86,2012
42,"Obama, Barack",Oklahoma,728803.54,2012
44,"Obama, Barack",Oregon,181087.24,2012
45,"Obama, Barack",Pennsylvania,864628.86,2012
48,"Obama, Barack",Rhode Island,2100650.44,2012
49,"Obama, Barack",South Carolina,344508.73,2012
50,"Obama, Barack",South Dakota,20792.31,2012
51,"Obama, Barack",Tennessee,256819.39,2012
52,"Obama, Barack",Texas,6747983.65,2012
53,"Obama, Barack",Utah,156762.29,2012
54,"Obama, Barack",Virginia,6240559.93,2012
55,"Obama, Barack",Vermont,70355.06,2012
56,"Obama, Barack",Washington,5300793.64,2012
57,"Obama, Barack",Wisconsin,31451578.78,2012
58,"Obama, Barack",West Virginia,9137.289999999999,2012
59,"Obama, Barack",Wyoming,58940.7,2012
60,"Romney, Mitt",Alaska,17502.579999999998,2012
61,"Romney, Mitt",Alabama,54322.86,2012
62,"Romney, Mitt",Arkansas,43612.05,2012
63,"Romney, Mitt",Arizona,1379368.76,2012
65,"Romney, Mitt",California,9326994.34,2012
66,"Romney, Mitt",Colorado,496769.77999999997,2012
67,"Romney, Mitt",Connecticut,521099.23,2012
69,"Romney, Mitt",District of Columbia,1898725.55,2012
70,"Romney, Mitt",Delaware,11012.19,2012
71,"Romney, Mitt",Florida,12458401.96,2012
72,"Romney, Mitt",Georgia,3121293.86,2012
73,"Romney, Mitt",Hawaii,6249.5,2012
74,"Romney, Mitt",Iowa,3235331.65,2012
75,"Romney, Mitt",Idaho,54566.95,2012
76,"Romney, Mitt",Illinois,3460487.02,2012
77,"Romney, Mitt",Indiana,73369.21,2012
78,"Romney, Mitt",Kansas,12062.34,2012
79,"Romney, Mitt",Kentucky,222339.17,2012
80,"Romney, Mitt",Louisiana,130499.87,2012
81,"Romney, Mitt",Massachusetts,277235156.65,2012
82,"Romney, Mitt",Maryland,3308407.13,2012
83,"Romney, Mitt",Maine,21383.13,2012
84,"Romney, Mitt",Michigan,718190.29,2012
85,"Romney, Mitt",Minnesota,20441897.509999998,2012
86,"Romney, Mitt",Missouri,14972092.15,2012
87,"Romney, Mitt",Mississippi,16764.28,2012
88,"Romney, Mitt",Montana,18237.87,2012
90,"Romney, Mitt",North Carolina,257551.6,2012
91,"Romney, Mitt",North Dakota,2113.04,2012
92,"Romney, Mitt",Nebraska,36092.65,2012
93,"Romney, Mitt",New Hampshire,44012998.51,2012
94,"Romney, Mitt",New Jersey,2442734.73,2012
95,"Romney, Mitt",New Mexico,599236.16,2012
96,"Romney, Mitt",Nevada,1101001.04,2012
97,"Romney, Mitt",New York,3200686.16,2012
98,"Romney, Mitt",Ohio,1701169.22,2012
99,"Romney, Mitt",Oklahoma,52413.31,2012
100,"Romney, Mitt",Oregon,30921.22,2012
101,"Romney, Mitt",Pennsylvania,2273804.15,2012
104,"Romney, Mitt",Rhode Island,65295.63,2012
105,"Romney, Mitt",South Carolina,446596.03,2012
106,"Romney, Mitt",South Dakota,8491.45,2012
108,"Romney, Mitt",Tennessee,2132452.87,2012
109,"Romney, Mitt",Texas,6500932.84,2012
110,"Romney, Mitt",Utah,452924.0,2012
111,"Romney, Mitt",Virginia,37744218.72,2012
112,"Romney, Mitt",Vermont,21691.72,2012
113,"Romney, Mitt",Washington,789237.24,2012
114,"Romney, Mitt",Wisconsin,639805.17,2012
115,"Romney, Mitt",West Virginia,4828.7699999999995,2012
116,"Romney, Mitt",Wyoming,7499.11,2012
0,"Clinton, Hillary Rodham",Alaska,26231.93,2016
1,"Clinton, Hillary Rodham",Alabama,2593726.8000000003,2016
2,"Clinton, Hillary Rodham",Arkansas,16330085.39,2016
3,"Clinton, Hillary Rodham",Arizona,223297.48,2016
5,"Clinton, Hillary Rodham",California,16484666.13,2016
6,"Clinton, Hillary Rodham",Colorado,5041103.68,2016
7,"Clinton, Hillary Rodham",Connecticut,11191768.11,2016
9,"Clinton, Hillary Rodham",District of Columbia,353040899.81,2016
10,"Clinton, Hillary Rodham",Delaware,54498.8,2016
11,"Clinton, Hillary Rodham",Florida,12454571.84,2016
12,"Clinton, Hillary Rodham",Georgia,2204171.56,2016
13,"Clinton, Hillary Rodham",Hawaii,50931.01,2016
14,"Clinton, Hillary Rodham",Iowa,3169482.79,2016
15,"Clinton, Hillary Rodham",Idaho,27643.04,2016
16,"Clinton, Hillary Rodham",Illinois,6558355.87,2016
17,"Clinton, Hillary Rodham",Indiana,174010.59,2016
18,"Clinton, Hillary Rodham",Kansas,64030.35,2016
19,"Clinton, Hillary Rodham",Kentucky,116904.97,2016
20,"Clinton, Hillary Rodham",Louisiana,67583.02,2016
22,"Clinton, Hillary Rodham",Massachusetts,1127157.04,2016
23,"Clinton, Hillary Rodham",Maryland,1825508.71,2016
24,"Clinton, Hillary Rodham",Maine,90613.08,2016
25,"Clinton, Hillary Rodham",Michigan,551030.98,2016
26,"Clinton, Hillary Rodham",Minnesota,674479.07,2016
27,"Clinton, Hillary Rodham",Missouri,1028793.49,2016
29,"Clinton, Hillary Rodham",Mississippi,85322.24,2016
30,"Clinton, Hillary Rodham",Montana,15451.7,2016
31,"Clinton, Hillary Rodham",North Carolina,535327.51,2016
32,"Clinton, Hillary Rodham",North Dakota,5316.67,2016
33,"Clinton, Hillary Rodham",Nebraska,75504.65,2016
34,"Clinton, Hillary Rodham",New Hampshire,771982.37,2016
