,state,naics,num_employees,annual_payroll
8,1,11,6028,212695
169,1,21,9388,616258
300,1,22,16342,1420487
383,1,23,77901,3336295
766,1,31,232510,11044048
3103,1,42,71121,3648949
3925,1,44,222992,5277386
4820,1,48,56594,2428095
5366,1,51,31770,1688566
5714,1,52,70913,4379728
6074,1,53,22689,823559
6361,1,54,90224,5809213
6841,1,55,19756,1613331
6884,1,56,138781,3659823
7329,1,61,28889,835291
7517,1,62,237705,10249749
8058,1,71,17540,328187
8366,1,72,155254,2112853
8554,1,81,79302,1799109
9039,1,99,0,1309
9052,2,11,1029,54241
9179,2,21,12833,1498581
9310,2,22,2063,184206
9396,2,23,18058,1590277
9774,2,31,11935,509395
10659,2,42,8533,511412
11231,2,44,32888,986740
12040,2,48,17617,1186065
12579,2,51,6645,406798
12867,2,52,7377,448120
13109,2,53,4548,203480
13363,2,54,17455,1228384
13773,2,55,6257,673813
13813,2,56,19285,897775
14211,2,61,3361,95779
14365,2,62,47453,2471367
14846,2,71,4877,94770
15094,2,72,26160,623438
15275,2,81,9837,321370
15684,2,99,0,392
15697,4,11,1490,41877
15841,4,21,10839,830760
16007,4,22,12905,1173043
16087,4,23,118824,5582641
16482,4,31,138205,8468480
18770,4,42,92425,5715553
19605,4,44,287369,7517468
20518,4,48,79507,3404815
21078,4,51,44531,2848664
21474,4,52,131233,8027198
21887,4,53,42434,1851882
22179,4,54,124293,7672941
22692,4,55,46803,4380611
22734,4,56,228209,7891592
23213,4,61,77837,2220073
23431,4,62,317929,15304547
23981,4,71,40197,1238079
24300,4,72,255022,4202631
24504,4,81,84101,2463436
25008,4,99,0,2325
25022,5,11,4444,150232
25170,5,21,9488,624525
25292,5,22,7552,561182
25364,5,23,43079,1722718
25733,5,31,155336,6295022
27782,5,42,43431,2217155
28570,5,44,137209,3148113
29444,5,48,49281,2003805
29930,5,51,22863,1349425
30262,5,52,36374,1984837
30600,5,53,12945,399098
30883,5,54,32693,1597601
31322,5,55,39242,3027121
31367,5,56,55266,1556020
31799,5,61,17297,330247
31976,5,62,165215,6344929
32483,5,71,9026,167713
32754,5,72,95396,1216617
32941,5,81,42312,936173
33392,5,99,0,1055
33405,6,11,27692,961760
33619,6,21,24459,2216270
33795,6,22,0,0
33922,6,23,566131,31151126
34352,6,31,1138370,69044285
37571,6,42,806841,60530571
38532,6,44,1539979,43490081
39547,6,48,439204,20093462
40286,6,51,537357,60540210
40776,6,52,586829,56488857
41249,6,53,274643,13954074
41577,6,54,1128912,93564293
42154,6,55,285828,31762095
42200,6,56,1167386,47008636
42727,6,61,381636,13849758
42972,6,62,1742808,91789004
43588,6,71,293032,14064693
43960,6,72,1398509,26275291
44187,6,81,549507,16559129
44769,6,99,1029,26134
44784,8,11,1521,52407
44922,8,21,28958,2923229
45107,8,22,8911,776957
45210,8,23,115908,6037952
45608,8,31,120250,6667014
47960,8,42,91414,6167167
48789,8,44,244702,6634193
49722,8,48,60750,2821701
50260,8,51,80030,5808113
50654,8,52,96889,7428746
51035,8,53,39878,1639850
51334,8,54,177810,13528209
51863,8,55,50015,5722193
51908,8,56,218357,9486540
52391,8,61,45416,1391722
52612,8,62,264818,12086057
53156,8,71,47615,1302235
53477,8,72,244653,4263246
53691,8,81,97813,2951059
54220,8,99,0,2585
54235,9,11,338,10806
54348,9,21,1111,100570
54433,9,22,0,0
54504,9,23,49438,3002666
54887,9,31,153757,10965445
57127,9,42,72424,5260797
57946,9,44,183809,5140209
58825,9,48,39996,1703229
59353,9,51,36542,2716908
59732,9,52,115456,16087973
60113,9,53,18753,1079415
60401,9,54,102622,8594809
60894,9,55,36011,4721588
60936,9,56,90045,3430118
61406,9,61,66005,3003515
61609,9,62,268876,12558590
62097,9,71,25460,732336
62377,9,72,134280,2669672
62567,9,81,59762,1824755
63050,9,99,55,1720
63063,10,11,119,4326
63144,10,21,114,10778
63186,10,22,2466,233832
63243,10,23,17123,867033
63597,10,31,26712,1395120
64806,10,42,16055,1277988
65426,10,44,51783,1302153
66244,10,48,11689,428373
66644,10,51,6607,371061
66912,10,52,37496,3178742
67224,10,53,5485,247104
67484,10,54,26600,2380790
67878,10,55,10610,1110536
67923,10,56,26981,1123893
68302,10,61,6420,241874
68463,10,62,59704,2919111
68879,10,71,6912,216416
69119,10,72,36000,614783
69272,10,81,14783,390619
69674,10,99,0,863
69688,11,21,0,0
69698,11,22,0,0
69736,11,23,7256,455574
70020,11,31,1157,58832
70363,11,42,4492,357204
70815,11,44,20420,621452
71515,11,48,5277,200864
71823,11,51,20334,2208373
72145,11,52,16681,2436510
72440,11,53,9277,650738
72640,11,54,93836,11001053
73086,11,55,9330,913402
73123,11,56,32739,1468563
73462,11,61,52867,2363909
73630,11,62,63611,3550310
74079,11,71,7528,422358
74292,11,72,62741,1631728
74451,11,81,73041,5249639
74851,11,99,22,773
74864,12,11,11993,332284
75045,12,21,3961,252840
75202,12,22,27530,2470781
75305,12,23,289784,11840103
75718,12,31,282612,14118934
78456,12,42,289297,15640298
79375,12,44,965869,24517079
80338,12,48,210144,8999324
80987,12,51,148646,10251160
81442,12,52,335689,22667568
81895,12,53,146420,5732778
82208,12,54,441845,27057152
82747,12,55,131356,10940624
82791,12,56,1224524,47073468
83291,12,61,152496,5336571
83517,12,62,1001436,46102189
84101,12,71,175731,5079166
84469,12,72,792255,14143299
84681,12,81,300544,7743221
85234,12,99,250,5945
85249,13,11,7499,272265
85436,13,21,5071,286271
85547,13,22,24254,2115085
85641,13,23,138834,6419763
86031,13,31,335703,15364663
88590,13,42,187834,11505035
89471,13,44,436660,10464726
90392,13,48,155414,6912582
90994,13,51,115755,9611682
91421,13,52,162056,12189636
91836,13,53,55553,2772232
92142,13,54,227434,15321484
92662,13,55,116785,11480054
92707,13,56,330120,10686921
93201,13,61,80027,2970234
93421,13,62,459876,20307831
93980,13,71,41678,1294568
94305,13,72,358799,5371926
94513,13,81,150972,3939479
95037,13,99,216,4373
95051,15,11,361,5123
95117,15,21,100,8837
95159,15,22,3501,302755
95220,15,23,24779,1560841
95585,15,31,12177,469253
96626,15,42,18213,840844
97317,15,44,67719,1846372
98116,15,48,26578,1153728
98571,15,51,8088,472002
98897,15,52,19274,1143466
99172,15,53,11771,518620
99445,15,54,24439,1396307
99893,15,55,8722,545360
99928,15,56,47713,1423506
100345,15,61,18028,576754
100523,15,62,66444,3285937
100971,15,71,10423,248765
101209,15,72,98768,2585637
101379,15,81,24989,694161
101806,15,99,0,285
101819,16,11,3274,112473
101983,16,21,2736,190234
102114,16,22,0,0
102193,16,23,27106,1127299
102587,16,31,54484,2674239
104385,16,42,26263,1233964
105080,16,44,73114,1837390
105939,16,48,17079,597883
106410,16,51,11574,516425
106702,16,52,21391,1030765
107043,16,53,6241,182370
107306,16,54,31157,1697445
107761,16,55,6581,522467
107804,16,56,33774,880132
108219,16,61,11610,239665
108414,16,62,82816,3158790
108909,16,71,9075,148683
109172,16,72,53805,742039
109359,16,81,17897,422939
109800,16,99,0,720
109813,17,11,2152,101132
109973,17,21,8849,589472
110125,17,22,27672,2837325
110232,17,23,180468,11646515
110631,17,31,544154,30341855
113405,17,42,307625,20655202
114305,17,44,597154,14911387
115255,17,48,228894,10083458
115876,17,51,118849,8772687
116333,17,52,292622,28619921
116789,17,53,71695,3718364
117110,17,54,368704,29528477
117647,17,55,182936,21671570
117693,17,56,470351,14807233
118196,17,61,159474,6151527
118417,17,62,770017,33092174
118980,17,71,77326,2373856
119297,17,72,467152,8051257
119510,17,81,243571,7737208
120039,17,99,0,3519
120054,18,11,1539,68918
120183,18,21,6025,397862
120316,18,22,14656,1242322
120405,18,23,112805,6132504
120798,18,31,455851,23236896
123321,18,42,111514,5995763
124134,18,44,309602,7191314
125035,18,48,115240,4471629
125584,18,51,41346,2105963
125956,18,52,96975,5860935
126338,18,53,31994,1210067
126631,18,54,104175,5916160
127143,18,55,55439,5295710
127187,18,56,177140,5096711
127662,18,61,66442,1769269
127867,18,62,398000,16161615
128407,18,71,33728,932508
128706,18,72,256077,3543299
128914,18,81,124313,3046862
129407,18,99,0,974
129420,19,11,2423,124327
129559,19,21,2063,102698
129643,19,22,7785,582140
129726,19,23,56878,2927366
130114,19,31,205375,10087942
132311,19,42,66920,3292519
133100,19,44,175899,3969046
133992,19,48,55148,2098146
134512,19,51,29759,1369241
134832,19,52,91258,5709181
135192,19,53,13011,510946
135476,19,54,49890,2586644
135950,19,55,16648,1264922
135993,19,56,77693,2235567
136431,19,61,45917,1159659
136603,19,62,211199,7880751
137096,19,71,21020,364032
137388,19,72,114653,1498938
137590,19,81,50089,1181334
138066,19,99,66,1065
138080,20,11,762,27492
138194,20,21,10270,600402
138301,20,22,7440,625451
138386,20,23,56106,2733284
138765,20,31,154088,7704851
140820,20,42,61561,3339997
141625,20,44,146633,3409755
142533,20,48,48818,1984976
143021,20,51,38340,2535555
143359,20,52,58934,3611165
143736,20,53,15104,531039
144028,20,54,59352,3455548
144528,20,55,20443,1834430
144570,20,56,71614,2230250
145004,20,61,20115,508448
145198,20,62,193335,7614853
145737,20,71,14252,254169
146023,20,72,106861,1388337
146214,20,81,50132,1217210
146699,20,99,56,860
146714,21,11,1601,52214
146832,21,21,20933,1295200
146958,21,22,8320,670399
147041,21,23,60807,2747115
147421,21,31,210479,10135491
149671,21,42,69094,3897110
150489,21,44,202648,4716114
151362,21,48,84076,3887911
151899,21,51,29623,1291285
152265,21,52,67821,3848940
152623,21,53,19200,677527
152912,21,54,65291,2981279
153392,21,55,27715,2405778
153436,21,56,96074,2469092
153876,21,61,29161,713999
154080,21,62,251737,10163153
154615,21,71,16371,357130
154903,21,72,154807,2140287
