,state,naics,num_employees,annual_payroll
8,1,11,6589,257589
168,1,21,5216,353814
303,1,22,14447,1317536
392,1,23,82327,4052850
773,1,31,250252,12665808
3135,1,42,72647,4047923
3943,1,44,237123,5996907
4839,1,48,59000,2633446
5419,1,51,32984,1869701
5766,1,52,70109,4921571
6128,1,53,23218,977950
6423,1,54,100476,6895844
6894,1,55,17797,1643563
6938,1,56,150843,4201270
7397,1,61,26176,752801
7574,1,62,245766,11240183
8116,1,71,17892,346733
8406,1,72,178552,2672961
8600,1,81,81529,2117023
9074,1,99,306,5150
9088,2,11,641,45422
9219,2,21,11838,1447939
9343,2,22,2066,196232
9437,2,23,17022,1496937
9813,2,31,12701,582480
10722,2,42,9306,572951
11265,2,44,35101,1132140
12085,2,48,18655,1356732
12601,2,51,6759,424965
12879,2,52,7602,516527
13105,2,53,4489,216960
13364,2,54,19498,1381323
13763,2,55,7477,770768
13799,2,56,17035,859744
14191,2,61,3105,88059
14347,2,62,49799,2920214
14823,2,71,4534,109636
15072,2,72,28606,776021
15245,2,81,9787,343133
15644,2,99,51,1012
15657,4,11,1521,58693
15806,4,21,11178,800482
15969,4,22,12388,1253607
16059,4,23,141740,7070197
16447,4,31,144208,8752279
18862,4,42,93790,5998480
19681,4,44,320561,8957673
20595,4,48,89655,4438953
21134,4,51,48161,3174617
21529,4,52,147682,10328371
21915,4,53,46609,2330095
22213,4,54,148267,10533542
22715,4,55,54879,4444944
22758,4,56,270730,9372811
23235,4,61,60892,2300035
23444,4,62,359183,16960550
24008,4,71,47840,1599932
24347,4,72,290496,5359110
24545,4,81,89232,2684393
25067,4,99,397,12496
25082,5,11,4815,202788
25237,5,21,5271,308687
25356,5,22,7077,647555
25428,5,23,45609,2081774
25816,5,31,153952,6910392
27837,5,42,47341,2522416
28607,5,44,147616,3756811
29490,5,48,53468,2327513
29977,5,51,25303,1375026
30310,5,52,36831,2216361
30634,5,53,12490,458313
30908,5,54,37811,2140796
31346,5,55,39186,4100947
31391,5,56,63655,1553222
31836,5,61,15997,376122
32013,5,62,170777,7233723
32514,5,71,9844,198898
32778,5,72,105795,1541610
32969,5,81,40828,1012955
33422,5,99,188,3142
33437,6,11,27481,1084357
33644,6,21,20933,1765735
33825,6,22,59601,7131984
33947,6,23,723574,45542694
34387,6,31,1154342,77025732
37621,6,42,843285,70786097
38581,6,44,1711363,52902275
39584,6,48,505066,26685162
40305,6,51,711680,88840160
40789,6,52,611298,68264682
41264,6,53,292748,17688206
41602,6,54,1190717,113612466
42183,6,55,339153,46052536
42228,6,56,1457869,68650430
42764,6,61,422749,16824012
43005,6,62,1928468,110356720
43609,6,71,338705,16997429
43991,6,72,1671180,36606623
44224,6,81,586153,19712885
44802,6,99,3984,113738
44817,8,11,1931,66701
44967,8,21,22684,2136561
45142,8,22,10868,925315
45232,8,23,152325,8889286
45644,8,31,121428,7417923
48062,8,42,102986,7836765
48919,8,44,281435,8260466
49842,8,48,67489,3581602
50370,8,51,86918,7238668
50776,8,52,106462,9318296
51179,8,53,45440,2231898
51493,8,54,194466,16340909
52022,8,55,60073,6460262
52065,8,56,256339,12001688
52549,8,61,51155,1643519
52761,8,62,307955,14988505
53304,8,71,58086,1857583
53631,8,72,282483,5568524
53841,8,81,107296,3625370
54372,8,99,371,8893
54387,9,11,334,14893
54498,9,21,931,62439
54579,9,22,7438,857848
54658,9,23,58249,4021613
55051,9,31,155579,11374908
57302,9,42,73356,6071401
58122,9,44,186979,5550869
59004,9,48,43315,1950929
59536,9,51,37781,3489872
59919,9,52,126081,18977275
60287,9,53,20237,1140093
60577,9,54,106207,9857911
61081,9,55,34199,4550539
61125,9,56,85639,3635512
61598,9,61,76423,3520781
61797,9,62,285014,13685070
62294,9,71,28450,762814
62580,9,72,146476,3123722
62768,9,81,60983,2003854
