,state,naics,num_employees,annual_payroll
183855,30,61,6195,165666
183990,30,62,72630,3697569
184395,30,71,10395,195365
184584,30,72,52958,903603
184741,30,81,16842,539245
185060,30,99,67,2385
185074,31,11,1339,81456
185138,31,21,1016,61936
185204,31,22,956,125742
185252,31,23,51768,2988136
185585,31,31,100047,5380001
186390,31,42,41206,2531861
186907,31,44,107979,3096877
187662,31,48,33239,1546991
187984,31,51,20346,1447010
188188,31,52,75735,5719422
188456,31,53,12235,575914
188685,31,54,39918,2768513
189055,31,55,21290,1674040
189097,31,56,73236,2948837
189427,31,61,18699,574686
189554,31,62,137942,7187607
189968,31,71,14924,240269
190157,31,72,78076,1143833
190303,31,81,36049,1102730
190662,31,99,139,2665
190676,32,11,298,12048
190724,32,21,13644,1494683
190817,32,22,4758,555340
190868,32,23,91266,5627737
191202,32,31,49782,2971979
192191,32,42,39611,2496140
192784,32,44,155419,4932743
193538,32,48,58615,2625767
193907,32,51,19698,1381686
194158,32,52,40199,3297810
194437,32,53,31450,1444821
194684,32,54,61841,4330378
195105,32,55,26321,2292163
195142,32,56,128334,4232851
195526,32,61,14987,590356
195694,32,62,142895,7772874
196159,32,71,34456,1272478
196417,32,72,324647,7820469
196570,32,81,37558,1179998
196963,32,99,167,9524
196977,33,11,643,35960
197034,33,21,238,17580
197067,33,22,3225,359213
197119,33,23,30802,2124991
197462,33,31,66150,4121013
198405,33,42,24076,2044492
198941,33,44,97334,3086172
199689,33,48,15649,691251
200011,33,51,16249,1487521
200233,33,52,28921,2916830
200452,33,53,8391,432110
200672,33,54,35737,3232133
201058,33,55,8695,817772
201092,33,56,60051,3045870
201430,33,61,27973,1177681
201575,33,62,98157,5605378
201970,33,71,13500,284308
202169,33,72,62146,1189302
202328,33,81,23267,783689
202680,33,99,59,1917
202693,34,11,1025,46693
202777,34,21,1249,98033
202834,34,22,18327,2395092
202904,34,23,165366,12025364
203287,34,31,221768,14477915
205110,34,42,270884,26597678
205890,34,44,463891,14697690
206737,34,48,207020,11056524
207259,34,51,85372,9113730
207584,34,52,204384,28537128
207935,34,53,64123,4007079
208213,34,54,338602,34640497
208716,34,55,128327,18167045
208758,34,56,355100,15274351
209201,34,61,111756,4278087
209402,34,62,625613,33004977
209915,34,71,67791,1808038
210194,34,72,333224,6004223
210384,34,81,155479,4778588
210870,34,99,421,20351
210885,35,11,387,18255
210965,35,21,18114,1318002
211060,35,22,4618,436862
211121,35,23,43852,2247724
211474,35,31,27874,1462658
212240,35,42,20308,1121281
212765,35,44,91306,2686715
213521,35,48,20259,938580
213839,35,51,10366,563362
214046,35,52,25586,1735277
214304,35,53,9702,416092
214522,35,54,60033,4736650
214901,35,55,6679,442020
214942,35,56,37212,1453327
215279,35,61,8746,307200
215430,35,62,128446,5884496
215861,35,71,14044,259273
216063,35,72,97449,1553508
216239,35,81,26685,802804
216596,35,99,90,2238
216610,36,11,2823,121836
216708,36,21,3798,284769
216794,36,22,40864,4985013
216890,36,23,383683,26457933
217282,36,31,407390,25132915
219394,36,42,340910,26358280
220197,36,44,917212,29424977
221086,36,48,280892,13466786
221625,36,51,314340,41504746
222016,36,52,547123,122116872
222410,36,53,185729,12345680
222702,36,54,677347,70576374
223230,36,55,192169,26156080
223274,36,56,732998,49523757
223757,36,61,432033,21154974
223972,36,62,1789810,93100009
224487,36,71,184927,7693964
224814,36,72,792730,15717525
225024,36,81,389669,15711521
225541,36,99,1066,44123
225556,37,11,5013,208308
225685,37,21,3479,236588
225750,37,22,20262,2198578
225822,37,23,225229,12308531
226202,37,31,446033,23642276
228149,37,42,194820,14889307
228909,37,44,499509,14157065
229786,37,48,149743,7023003
230273,37,51,93020,8513228
230597,37,52,208418,22234920
230925,37,53,59342,3105096
231201,37,54,241388,19788187
231692,37,55,99123,9378123
231735,37,56,289240,10767529
232169,37,61,108087,4627060
232362,37,62,626383,32294535
232891,37,71,72005,1928928
233175,37,72,453610,6929628
233354,37,81,167584,5011221
233818,37,99,466,13999
233832,38,11,384,25185
233873,38,21,19064,1541098
233951,38,22,3705,405350
234002,38,23,24071,1630069
234310,38,31,27933,1535910
234767,38,42,22473,1436969
235207,38,44,48232,1477680
235874,38,48,17192,943600
236152,38,51,7048,512353
236310,38,52,18565,1336918
236496,38,53,5605,269471
236686,38,54,18145,1185116
236964,38,55,4727,394221
236999,38,56,13200,477361
237275,38,61,4353,108663
237357,38,62,65644,3422624
237670,38,71,5363,88203
237809,38,72,35053,567499
237956,38,81,14284,454570
238254,38,99,62,1470
238266,39,11,1214,47401
238371,39,21,10366,699454
238485,39,22,23330,2683016
238567,39,23,203827,13115960
238945,39,31,673719,38993449
241189,39,42,231677,15522721
241981,39,44,561054,16318534
242856,39,48,223510,11272283
243360,39,51,97517,6920977
243666,39,52,253898,23176308
243999,39,53,65744,3410167
244281,39,54,262090,19637471
244775,39,55,154335,15726918
244817,39,56,466515,16415194
245265,39,61,116229,3593185
245459,39,62,872470,43564832
245979,39,71,81431,2620905
246255,39,72,480430,6988854
246434,39,81,199034,5839534
246901,39,99,330,7412
246916,40,11,979,42054
246998,40,21,36045,2649417
247108,40,22,10340,1026199
247177,40,23,77079,4107650
247541,40,31,131269,7136224
248795,40,42,60167,3443375
249417,40,44,182871,5350450
250210,40,48,55390,3027223
250589,40,51,26003,1522046
250820,40,52,58421,4072138
251103,40,53,19642,868052
251347,40,54,78909,5272513
251757,40,55,44518,3716544
251795,40,56,121665,5093244
252170,40,61,21564,684763
252329,40,62,225482,10783383
252801,40,71,30056,873272
253038,40,72,163916,2558953
253214,40,81,61301,1786249
253610,40,99,207,6015
253624,41,11,13759,722346
253783,41,21,1334,83182
253843,41,22,9096,934841
253903,41,23,108291,6834691
254274,41,31,177991,11536779
255911,41,42,77060,5669817
256599,41,44,214752,6917109
