,state,year,college,value,quater_avg,halfYear_avg,swingIndex
63,Idaho,1980,4,7.5,7.766666666666665,7.949999999999999,45.02645357466244
64,Illinois,1980,26,9.0,9.0,8.866666666666667,8.67932476422194
65,Indiana,1980,13,9.6,9.999999999999996,10.366666666666667,19.594657340299538
66,Iowa,1980,8,6.4,6.566666666666664,6.583333333333333,14.126300542416725
67,Kansas,1980,7,4.6,4.699999999999997,4.766666666666668,26.950978877040676
68,Kentucky,1980,9,8.7,8.799999999999997,8.683333333333335,1.4254912025391753
69,Louisiana,1980,10,7.6,7.399999999999996,7.150000000000001,5.62177197719852
70,Maine,1980,4,7.6,7.733333333333328,7.833333333333333,3.818966868046725
71,Maryland,1980,10,6.8,6.866666666666664,6.916666666666668,3.23827613243699
72,Massachusetts,1980,14,5.9,5.93333333333333,5.966666666666668,0.18134603371265934
73,Michigan,1980,21,12.8,12.999999999999995,13.166666666666666,7.092821793596837
74,Minnesota,1980,10,5.8,5.899999999999994,5.983333333333334,4.427229114373588
75,Mississippi,1980,7,8.1,7.999999999999993,7.833333333333335,1.3566644070912348
76,Missouri,1980,12,7.7,7.7,7.666666666666668,7.130828682886836
77,Montana,1980,4,6.6,6.66666666666666,6.6333333333333355,27.330488908590546
78,Nebraska,1980,5,4.1,4.166666666666658,4.166666666666668,43.164890256438284
79,Nevada,1980,3,7.1,7.033333333333324,6.883333333333334,39.85465732600154
80,New Hampshire,1980,4,4.8,4.899999999999991,4.916666666666668,34.135384745696065
81,New Jersey,1980,17,7.5,7.5,7.450000000000002,14.818289029262555
82,New Mexico,1980,4,8.0,8.0,7.9333333333333345,19.8165334862221
83,New York,1980,41,7.5,7.533333333333324,7.566666666666666,1.689727607083924
84,North Carolina,1980,13,6.7,6.8999999999999915,6.983333333333334,2.199365259489139
85,North Dakota,1980,3,5.2,5.266666666666658,5.233333333333335,41.961419504258224
86,Ohio,1980,25,9.1,9.166666666666657,9.116666666666667,11.47097002014924
87,Oklahoma,1980,8,4.3,4.633333333333324,4.816666666666667,26.744266560738193
