,year,state,manuRatio,voteRate,demRatio,swingIndex
0,1992,Alaska,0.082010582010582,68.6,0.4342573796132983,0.0657426203867017
1,1996,Alaska,0.06294642857142857,59.5,0.3957149749416618,0.1042850250583382
2,2000,Alaska,0.055021834061135366,65.5,0.3206305143627081,0.1793694856372918
3,2004,Alaska,0.05057034220532319,65.0,0.3677371701875368,0.1322628298124631
4,2008,Alaska,0.04596491228070175,62.4,0.389352150834029,0.1106478491659709
5,2012,Alaska,0.04283988362345283,56.0,0.4268470951843963,0.0731529048156037
6,2016,Alaska,0.03566360491708836,59.4061,0.4161434528893193,0.0838565471106806
7,2020,Alaska,0.030100045643511836,62.4,0.4473815127615069,0.0526184872384931
8,1992,Alabama,0.40788729081996367,63.6,0.4617887354009701,0.0382112645990299
9,1996,Alabama,0.4404107607752386,55.6,0.4626612884631105,0.0373387115368895
10,2000,Alabama,0.4019153413782999,59.6,0.423930580786689,0.076069419213311
11,2004,Alabama,0.3309465950374265,61.8,0.3710222864771775,0.1289777135228225
12,2008,Alabama,0.29096875938954164,60.8,0.3910909724642732,0.1089090275357267
13,2012,Alabama,0.23160008411051647,59.9,0.3878377146656229,0.1121622853343771
14,2016,Alabama,0.2158317716693138,56.3712,0.3562585640603926,0.1437414359396074
15,2020,Alabama,0.2181596174066411,59.6,0.3708862516664528,0.1291137483335472
16,1992,Arkansas,0.2282513193008115,58.0,0.5999226706612252,0.0999226706612251
17,1996,Arkansas,0.10759562841530054,51.5,0.5935282486475548,0.0935282486475548
18,2000,Arkansas,0.10525783619817998,49.4,0.4719931048957919,0.0280068951042081
19,2004,Arkansas,0.08507246376811593,56.7,0.4506425174833222,0.0493574825166778
20,2008,Arkansas,0.08105548037889039,51.8,0.3982827938928274,0.1017172061071726
21,2012,Arkansas,0.06549385332768122,51.1,0.3784559464877038,0.1215440535122961
22,2016,Arkansas,0.06863077575243748,56.0106,0.3571486231022953,0.1428513768977047
23,2020,Arkansas,0.07221111555377849,51.9,0.3578756672201685,0.1421243327798315
24,1992,Arizona,0.6974310540234228,64.7,0.4869809601698806,0.0130190398301194
